model_dir,condition,region,n,n_usable,fraction,baseline_n_total,baseline_n_usable,q25,q50,q75,threshold,median_equals_threshold,caveat
claude-opus-4-7_20260815_042213,above_good,above_range,0,37,0.0,100,99,25000000.0,30000000.0,42500000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,baseline,below_range,0,100,0.0,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,baseline,Q1,29,100,0.29,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,baseline,Q2,44,100,0.44,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,baseline,Q3,2,100,0.02,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,baseline,Q4,25,100,0.25,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,baseline,above_range,0,100,0.0,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,below_good,below_range,0,50,0.0,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,below_good,Q1,7,50,0.14,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,below_good,Q2,35,50,0.7,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,below_good,Q3,2,50,0.04,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,below_good,Q4,6,50,0.12,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,below_good,above_range,0,50,0.0,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,above_good,below_range,0,50,0.0,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,above_good,Q1,2,50,0.04,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,above_good,Q2,17,50,0.34,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,above_good,Q3,11,50,0.22,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,above_good,Q4,20,50,0.4,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-flash-0731_20260815_030703,above_good,above_range,0,50,0.0,100,100,23600000.0,23700000.0,23770000.0,23700000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,baseline,below_range,0,99,0.0,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,baseline,Q1,26,99,0.26262626262626265,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,baseline,Q2,36,99,0.36363636363636365,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,baseline,Q3,12,99,0.12121212121212122,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,baseline,Q4,25,99,0.25252525252525254,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,baseline,above_range,0,99,0.0,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,below_good,below_range,0,46,0.0,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,below_good,Q1,12,46,0.2608695652173913,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,below_good,Q2,20,46,0.43478260869565216,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,below_good,Q3,11,46,0.2391304347826087,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,below_good,Q4,3,46,0.06521739130434782,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,below_good,above_range,0,46,0.0,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,above_good,below_range,0,42,0.0,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,above_good,Q1,5,42,0.11904761904761904,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,above_good,Q2,10,42,0.23809523809523808,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,above_good,Q3,17,42,0.40476190476190477,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,above_good,Q4,10,42,0.23809523809523808,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
deepseek-v4-pro-0813_20260815_030703,above_good,above_range,0,42,0.0,100,99,25000000.0,30000000.0,34150000.0,30000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,baseline,below_range,0,100,0.0,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,baseline,Q1,25,100,0.25,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,baseline,Q2,25,100,0.25,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,baseline,Q3,25,100,0.25,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,baseline,Q4,25,100,0.25,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,baseline,above_range,0,100,0.0,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,below_good,below_range,0,33,0.0,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,below_good,Q1,9,33,0.2727272727272727,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,below_good,Q2,10,33,0.30303030303030304,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,below_good,Q3,9,33,0.2727272727272727,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,below_good,Q4,4,33,0.12121212121212122,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,below_good,above_range,1,33,0.030303030303030304,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,above_good,below_range,0,30,0.0,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,above_good,Q1,3,30,0.1,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,above_good,Q2,4,30,0.13333333333333333,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,above_good,Q3,16,30,0.5333333333333333,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,above_good,Q4,5,30,0.16666666666666666,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
glm-5p2_20260815_030703,above_good,above_range,2,30,0.06666666666666667,100,100,17182500.0,20874000.0,31110000.0,20874000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,baseline,below_range,0,100,0.0,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,baseline,Q1,25,100,0.25,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,baseline,Q2,27,100,0.27,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,baseline,Q3,25,100,0.25,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,baseline,Q4,23,100,0.23,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,baseline,above_range,0,100,0.0,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,below_good,below_range,0,33,0.0,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,below_good,Q1,9,33,0.2727272727272727,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,below_good,Q2,18,33,0.5454545454545454,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,below_good,Q3,6,33,0.18181818181818182,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,below_good,Q4,0,33,0.0,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,below_good,above_range,0,33,0.0,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,above_good,below_range,0,41,0.0,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,above_good,Q1,8,41,0.1951219512195122,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,above_good,Q2,18,41,0.43902439024390244,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,above_good,Q3,15,41,0.36585365853658536,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,above_good,Q4,0,41,0.0,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling-small_20260815_192811,above_good,above_range,0,41,0.0,100,100,68587500.0,120000000.0,300000000.0,120000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,baseline,below_range,0,100,0.0,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,baseline,Q1,32,100,0.32,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,baseline,Q2,21,100,0.21,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,baseline,Q3,24,100,0.24,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,baseline,Q4,23,100,0.23,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,baseline,above_range,0,100,0.0,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,below_good,below_range,1,35,0.02857142857142857,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,below_good,Q1,18,35,0.5142857142857142,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,below_good,Q2,7,35,0.2,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,below_good,Q3,6,35,0.17142857142857143,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,below_good,Q4,3,35,0.08571428571428572,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,below_good,above_range,0,35,0.0,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,above_good,below_range,0,36,0.0,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,above_good,Q1,13,36,0.3611111111111111,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,above_good,Q2,10,36,0.2777777777777778,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,above_good,Q3,7,36,0.19444444444444445,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,above_good,Q4,6,36,0.16666666666666666,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
inkling_20260815_030703,above_good,above_range,0,36,0.0,100,100,35000000.0,40000000.0,50000000.0,40000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,baseline,below_range,0,99,0.0,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,baseline,Q1,26,99,0.26262626262626265,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,baseline,Q2,25,99,0.25252525252525254,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,baseline,Q3,23,99,0.23232323232323232,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,baseline,Q4,25,99,0.25252525252525254,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,baseline,above_range,0,99,0.0,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,below_good,below_range,1,43,0.023255813953488372,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,below_good,Q1,2,43,0.046511627906976744,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,below_good,Q2,23,43,0.5348837209302325,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,below_good,Q3,11,43,0.2558139534883721,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,below_good,Q4,6,43,0.13953488372093023,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,below_good,above_range,0,43,0.0,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,above_good,below_range,0,38,0.0,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,above_good,Q1,1,38,0.02631578947368421,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,above_good,Q2,10,38,0.2631578947368421,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,above_good,Q3,15,38,0.39473684210526316,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,above_good,Q4,12,38,0.3157894736842105,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
kimi-k3_20260815_030702,above_good,above_range,0,38,0.0,100,99,30000000.0,39600000.0,46500000.0,39600000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,baseline,below_range,0,100,0.0,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,baseline,Q1,26,100,0.26,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,baseline,Q2,26,100,0.26,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,baseline,Q3,23,100,0.23,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,baseline,Q4,25,100,0.25,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,baseline,above_range,0,100,0.0,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,below_good,below_range,0,43,0.0,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,below_good,Q1,13,43,0.3023255813953488,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,below_good,Q2,13,43,0.3023255813953488,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,below_good,Q3,12,43,0.27906976744186046,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,below_good,Q4,5,43,0.11627906976744186,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,below_good,above_range,0,43,0.0,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,above_good,below_range,0,43,0.0,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
minimax-m3_20260815_030703,above_good,Q1,7,43,0.16279069767441862,100,100,36000000.0,50000000.0,108500000.0,50000000.0,True,"Existing baseline extraction; actual tied bin masses; descriptive regions, not discovered modes."
