dataset,tier,model_dir,n_models,metric,stratum,estimate,ci95_low,ci95_high,one_sided95_lower,conditional_finite_ci95_low,conditional_finite_ci95_high,bootstrap_n,bootstrap_undefined,bootstrap_undefined_fraction,interval_status,geometric_shift_pct,geometric_ci95_low_pct,geometric_ci95_high_pct
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,claude-opus-4-7_20260815_042213,1,log,known_label,0.15988093087023358,0.0715979710699937,0.24950334822738213,0.0849411905911163,0.0715979710699937,0.24950334822738213,10000,0,0.0,supported,17.3371150392,7.422338836087661,28.33878615230136
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,claude-opus-4-7_20260815_042213,1,log,positive,0.15988093087023358,0.0715979710699937,0.24950334822738213,0.0849411905911163,0.0715979710699937,0.24950334822738213,10000,0,0.0,supported,17.3371150392,7.422338836087661,28.33878615230136
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,claude-opus-4-7_20260815_042213,1,log,negative,,,,,,,10000,10000,1.0,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,claude-opus-4-7_20260815_042213,1,binary,all,0.4186313973548016,0.22310030395136776,0.6048449979604992,0.2558010335917313,0.22310030395136776,0.6048449979604992,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,claude-opus-4-7_20260815_042213,1,binary,known_label,0.4186313973548016,0.22310030395136776,0.6048449979604992,0.2558010335917313,0.22310030395136776,0.6048449979604992,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,claude-opus-4-7_20260815_042213,1,binary,positive,0.4186313973548016,0.22310030395136776,0.6048449979604992,0.2558010335917313,0.22310030395136776,0.6048449979604992,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,claude-opus-4-7_20260815_042213,1,binary,negative,,,,,,,10000,10000,1.0,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-flash-0731_20260815_030703,1,log,all,0.027735498727906815,0.01250270559591744,0.04482469116058425,0.014609912380050716,0.01250270559591744,0.04482469116058425,10000,0,0.0,supported,2.812370842526456,1.2581191172465118,4.58444980515466
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-flash-0731_20260815_030703,1,log,known_label,0.030253788556827033,0.013716802198496136,0.048806249741401596,0.015927279667658747,0.013716802198496136,0.048806249741401596,10000,0,0.0,supported,3.071608471045552,1.3811309146426558,5.001688998641026
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-flash-0731_20260815_030703,1,log,positive,0.03951502751732505,0.012369174385707638,0.06948600510711164,0.016094279763108333,0.012369174385707638,0.06948600510711164,10000,0,0.0,supported,4.03061319859161,1.2445989007627418,7.195705917557118
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-flash-0731_20260815_030703,1,log,negative,0.02606178060440456,0.006179404656470311,0.050028297192519486,0.00881166651388039,0.006179404656470311,0.050028297192519486,10000,0,0.0,supported,2.6404358396295464,0.6198536565058032,5.130084481752506
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-flash-0731_20260815_030703,1,binary,all,0.45999999999999996,0.29999999999999993,0.62,0.31999999999999995,0.29999999999999993,0.62,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-flash-0731_20260815_030703,1,binary,known_label,0.5,0.3110924796747968,0.675,0.3402190224984343,0.3110924796747968,0.675,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-flash-0731_20260815_030703,1,binary,positive,0.5048076923076923,0.16666666666666663,0.8,0.22376388317564797,0.16666666666666663,0.8,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-flash-0731_20260815_030703,1,binary,negative,0.5046296296296297,0.2672290793189014,0.72,0.30738750338845217,0.2672290793189014,0.72,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-pro-0813_20260815_030703,1,log,all,0.11813347508752159,0.04684126159365665,0.1943155010375338,0.05746211805843586,0.04684126159365665,0.1943155010375338,10000,0,0.0,supported,12.539431344748511,4.795564506680941,21.447939202564825
