dataset,tier,model_dir,stratum,lower,upper,interpretation
h6_corrected,raw_reasoning_8,,known_label,0.10928305800076318,0.4377132963920578,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,raw_reasoning_8,,positive,0.10407447291235153,0.4114019935984726,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,raw_reasoning_8,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,claude_summary_only,,all,0.21999999999999997,0.54,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,claude_summary_only,,known_label,0.21999999999999997,0.54,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,claude_summary_only,,positive,0.21999999999999997,0.54,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,claude_summary_only,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,both_labels_supported,,all,0.040000000000000015,0.41428571428571426,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,both_labels_supported,,known_label,0.05060920914372936,0.4259580530194946,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,both_labels_supported,,positive,0.044656540471258874,0.39588799268396874,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
h6_corrected,both_labels_supported,,negative,0.18215107298958233,0.6366369253015216,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,per_model,claude-opus-4-7_20260815_042213,all,0.10999999999999999,0.36,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,claude-opus-4-7_20260815_042213,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,claude-opus-4-7_20260815_042213,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,claude-opus-4-7_20260815_042213,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,deepseek-v4-flash-0731_20260815_030703,all,0.42,0.42,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,deepseek-v4-flash-0731_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,deepseek-v4-flash-0731_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,deepseek-v4-flash-0731_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,deepseek-v4-pro-0813_20260815_030703,all,-0.09999999999999998,0.59,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,deepseek-v4-pro-0813_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,deepseek-v4-pro-0813_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,deepseek-v4-pro-0813_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,glm-5p2_20260815_030703,all,-0.16000000000000003,0.57,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,glm-5p2_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
